StateAb,State,X,Y,DistrictID,County,SchoolID,SchoolLevel,Location,F2F2020,Date,Employee,Student
FL,Florida,-82.646273,28.902544,1200270,Citrus,###############################################################################################################################################################################################################################################################,High,Academy of Environmental Science,117,10/28/2020,0,2
FL,Florida,-82.437823,28.973121,1200270,Citrus,###############################################################################################################################################################################################################################################################,Elementary,Central Ridge Elementary,498,10/28/2020,0,4
FL,Florida,-82.337769,28.834812,1200270,Citrus,###############################################################################################################################################################################################################################################################,High,Citrus High,1153,10/28/2020,0,10
FL,Florida,-82.494338,28.981705,1200270,Citrus,###############################################################################################################################################################################################################################################################,Elementary,Citrus Springs Elementary,522,10/28/2020,3,0
FL,Florida,-82.434265,28.974847,1200270,Citrus,###############################################################################################################################################################################################################################################################,Middle,Citrus Springs Middle,539,10/28/2020,0,0
FL,Florida,-82.49885,28.825527,1200270,Citrus,###############################################################################################################################################################################################################################################################,K-12,CREST,113,10/28/2020,3,1
FL,Florida,-82.580088,28.907109,1200270,Citrus,###############################################################################################################################################################################################################################################################,High,Crystal River High,910,10/28/2020,1,13
FL,Florida,-82.587411,28.900956,1200270,Citrus,###############################################################################################################################################################################################################################################################,Middle,Crystal River Middle,667,10/28/2020,6,6
FL,Florida,-82.578348,28.900356,1200270,Citrus,###############################################################################################################################################################################################################################################################,Elementary,Crystal River Primary,485,10/28/2020,3,4
FL,Florida,-82.342374,28.834853,1200270,Citrus,###############################################################################################################################################################################################################################################################,NA,District-Wide Staff,0,10/28/2020,17,0
FL,Florida,-82.292788,28.752439,1200270,Citrus,###############################################################################################################################################################################################################################################################,Elementary,Floral City Elementary,230,10/28/2020,0,0
FL,Florida,-82.444096,28.905311,1200270,Citrus,###############################################################################################################################################################################################################################################################,Elementary,Forest Ridge Elementary,477,10/28/2020,2,4
FL,Florida,-82.384514,28.896537,1200270,Citrus,###############################################################################################################################################################################################################################################################,Elementary,Hernando Elementary,539,10/28/2020,1,0
FL,Florida,-82.615038,28.781961,1200270,Citrus,###############################################################################################################################################################################################################################################################,Elementary,Homosassa Elementary,293,10/28/2020,1,0
FL,Florida,-82.344503,28.848724,1200270,Citrus,###############################################################################################################################################################################################################################################################,Middle,Inverness Middle,825,10/28/2020,3,5
FL,Florida,-82.336649,28.833186,1200270,Citrus,###############################################################################################################################################################################################################################################################,Elementary,Inverness Primary,444,10/28/2020,0,0
FL,Florida,-82.498743,28.824171,1200270,Citrus,###############################################################################################################################################################################################################################################################,High,Lecanto High,1347,10/28/2020,2,10
FL,Florida,-82.497429,28.825002,1200270,Citrus,###############################################################################################################################################################################################################################################################,Middle,Lecanto Middle,626,10/28/2020,1,3
FL,Florida,-82.496025,28.824621,1200270,Citrus,###############################################################################################################################################################################################################################################################,Elementary,Lecanto Primary,589,10/28/2020,0,1
FL,Florida,-82.496593,28.818454,1200270,Citrus,###############################################################################################################################################################################################################################################################,Mid-High,PACE,49,10/28/2020,0,0
FL,Florida,-82.352905,28.823944,1200270,Citrus,###############################################################################################################################################################################################################################################################,Elementary,Pleasant Grove Elementary,477,10/28/2020,0,3
FL,Florida,-82.497193,28.818305,1200270,Citrus,###############################################################################################################################################################################################################################################################,Mid-High,Renaissance Center,95,10/28/2020,0,1
FL,Florida,-82.535406,28.84969,1200270,Citrus,###############################################################################################################################################################################################################################################################,Elementary,Rock Crusher Elementary,488,10/28/2020,0,0
FL,Florida,-82.347456,28.835933,1200270,Citrus,###############################################################################################################################################################################################################################################################,Mid-High,Withlacoochee Technical College,293,10/28/2020,1,0
FL,Florida,-82.646273,28.902544,1200270,Citrus,###############################################################################################################################################################################################################################################################,High,Academy of Environmental Science,117,2020-10-17,0,1
FL,Florida,-82.437823,28.973121,1200270,Citrus,###############################################################################################################################################################################################################################################################,Elementary,Central Ridge Elementary,498,2020-10-17,0,4
FL,Florida,-82.337769,28.834812,1200270,Citrus,###############################################################################################################################################################################################################################################################,High,Citrus High,1153,2020-10-17,0,9
FL,Florida,-82.494338,28.981705,1200270,Citrus,###############################################################################################################################################################################################################################################################,Elementary,Citrus Springs Elementary,522,2020-10-17,2,0
FL,Florida,-82.434265,28.974847,1200270,Citrus,###############################################################################################################################################################################################################################################################,Middle,Citrus Springs Middle,539,2020-10-17,0,0
FL,Florida,-82.49885,28.825527,1200270,Citrus,###############################################################################################################################################################################################################################################################,K-12,CREST,113,2020-10-17,3,1
FL,Florida,-82.580088,28.907109,1200270,Citrus,###############################################################################################################################################################################################################################################################,High,Crystal River High,910,2020-10-17,1,12
