Date,Source,County,elem_students,elem_staff,elem_unk,Elem_caserate_student,Elem_caserate_ALL,mid_students,mid_staff,mid_unk,mid_caserate_students,mid_caserate_ALL,high_students,high_staff,high_unk,high_caserate_students,high_caserate_ALL,k8_students,k8_staff,k8_unk,,,midhigh_students,midhigh_staff,midhigh_unk,,,k12_students,k12_staff,k12_unk,,,unk_students,unk_staff,unk_unk,other_student,other_staff,other_unknown,Total_cases,District_rate_ALL,District_rate_students,District_rate_staff,student_count,student_F2F,staff_count,firstday_students,firstday_teachers,P_district,P_Pk5,P_6-8,P_9-12,P_K8,P_K12,P_612,P_Other,N_elem,N_middle,N_high,N_K8,N_K12,N_612,N_Other,Masks_required
44149,District,Alachua,37,35,,4.199772985,8.172531215,29,13,,10.51486584,15.2284264,93,20,,21.48798521,26.1090573,,,,,,,,,,,,,,,,,,,,,,227,12.08861434,10.00251636,23.59472588,27408,15896,2882,44074,44053,58,64,50,55,,,,,8810,2758,4328,,,,,Yes
44149,District,Citrus,23,14,,9.59933222,15.44240401,16,11,,14.55868972,24.5677889,47,7,,36.09831029,41.47465438,,,,,,1,1,,,,1,4,,,,,18,,,,,143,26.28676471,18.34479883,85.53654743,5060,4797,643,44053,44043,95,95,92,94,,,,,2396,1099,1302,,,,,No
44149,District,Collier,53,48,,6.446120165,12.28411579,27,12,,8.052490307,11.63137489,58,17,,12.91759465,16.70378619,,,,,,,,,,,,,,,,7,9,,,,,231,12.08222187,8.994479251,28.68579053,21695,16121,2998,44063,44048,74.3,81.5,70.8,66.9,,,,,8222,3353,4490,,,,,Yes
44149,District,Duval,98,79,,67.63285024,122.1532091,39,23,,65.65656566,104.3771044,163,31,,280.5507745,333.9070568,10,2,,,,11,5,,,,1,2,,,,,,,,,,464,146.835443,122.7134146,264.9253731,3162,2624,536,44053,44043,83,85,89,74,,,,,1449,594,581,0,,,,No
44149,District,Hardee,25,21,,1.030715316,1.896516182,20,1,,3.840245776,4.032258065,46,5,,3.933304831,4.360837965,,,,,,,,,0,0,,,,,,,,,,,,118,1.786579457,1.592050246,3.037462032,78490,57159,8889,44067,44053,72.8,75.7,68.7,67.5,,,68.3,82.2,24255,5208,11695,,,4047,11954,Yes
44149,District,Hernando,7,9,,0.103676057,0.236973844,8,5,,0.210953775,0.342799884,26,10,,0.416513144,0.576710507,13,0,,,,,,,,,,,,,,,,,,,,78,0.38827992,0.321688986,0.726788202,210109,167864,33022,44113,44053,79.9,73.7,80.7,87.8,,,,,67518,37923,62423,,,,,Yes
44149,District,Highlands,17,18,,34.69387755,71.42857143,15,8,,3750,5750,32,3,,,,,,,0,0,,,,0,0,,,,0,0,,,,,,,93,41.85418542,33.22949117,97.97297297,2326,1926,296,44055,44046,82.8,96.6,92,61,,,,,490,4,,220,599,613,,No
44149,District,Hillsborough,213,230,,40.20385051,83.61645904,135,80,,50.42958536,80.31378409,357,115,,92.53499222,122.343183,62,48,,84.01084011,149.0514905,4,4,,,,13,17,,,,4,63,,,,,1345,90.73124663,62.68395513,247.225921,14607,12571,2253,44074,44053,86.1,83.5,77.8,76.8,99.2,,,,5298,2677,3858,738,,,,No
44149,District,Lake,50,42,,9.916699722,18.24672749,27,8,,10.16183666,13.17275122,56,20,,16.42228739,22.28739003,22,4,,32.93413174,38.92215569,,,,,,1,6,,,,,,,,,,236,16.87884423,13.24728261,36.26473255,17022,11776,2206,44063,44056,65.2,65,62,69,41,,,,5042,2657,3410,668,,,,Yes
44149,District,Sarasota,62,20,,4.584442473,6.063294883,22,9,,5.545752458,7.814469372,131,20,,13.75905892,15.85967861,21,5,,,,,,,,,,,,,,,,,,,,290,8.392660763,8.01657665,10.55718475,41971,29439,5115,44068,44054,70.1,72.9,61.9,74.2,,,,97.9,13524,3967,9521,,,,2427,Yes
