FID,SCHOOLNAME,Address,CITY,CUMULATIVE_COVID_Students,CUMULATIVE_COVID_Teachers,F30Day_Students,F30Day_Employees
1,A. C. Flora High,1 Falcon Drive,Columbia,< 5,0,< 5,0
2,A. C. Moore Elementary,333 Etiwan Avenue,Columbia,0,0,0,0
3,A. J. Lewis Greenview Elem,726 Easter Street,Columbia,0,0,0,0
4,A. R. Rucker Middle,422 Old Dixie Road,Lancaster,0,0,0,0
5,A.J. Whittenburg Elementary,420 Westfield Street,Greeenville,0,0,0,0
6,Abbeville City Career Center,100 Old Calhoun Falls Highway,Abbeville,0,0,0,0
7,A. C. Corcoran Elementary,8585 Vistavia Road,North Charleston,0,0,0,0
8,Abbeville High,701 Washington Street,Abbeville,0,0,0,0
9,A. L. Corbett Middle,10 A L Corbett Circle,Wagener,0,0,0,0
10,Abner Creek Academy,2050 Abner Creek Road,Duncan,0,< 5,0,< 5
11,Academic Magnet High,5109-A West Enterprise Street,North Charleston,< 5,0,< 5,0
12,Academy for Careers & Tech,2697 East Highway 76,Mullins,0,0,0,0
13,Academy For Arts/Science/Tech,895 International Drive,Myrtle Beach,0,0,0,0
14,Acad for Teaching & Learning,109 Hinton Street,Chester,0,0,0,0
15,Academy of Hope Charter,3521 Juniper Bay Road,Conway,0,0,0,0
16,Aiken County Career Center,2455 Jefferson Davis Highway,Warrenville,0,0,0,0
17,Academy for Tech & Academics,5639 Highway 701 North,Conway,0,0,0,0
18,Aiken Elementary,2050 Pine Log Road,Aiken,0,0,0,0
19,Aiken High,449 Rutland Drive,Aiken,5,< 5,5,0
20,Aiken Performing Arts Academy,130 Avery Lane,Aiken,0,0,0,0
21,Aiken Intermediate,101 Gator Lane,Aiken,0,0,0,0
22,Aiken Scholars Academy,471 University Parkway,Aiken,0,0,0,0
23,Airport High,1315 Boston Avenue,West Columbia,< 5,< 5,< 5,< 5
24,Alcorn Middle,5125 Fairfield Road,Columbia,0,0,0,0
25,Alexander Elementary,1601 West Bramlett Road,Greenville,0,0,0,0
26,Alice Drive Elementary,251 Alice Drive,Sumter,0,0,0,0
27,Alice Drive Middle,40 Miller Road,Sumter,0,0,0,0
28,Allegro Charter Sch of Music,2731 Gordon Street,North Charleston,0,0,0,0
29,Allendale Elementary,3305 Allendale-Fairfax Highway,Allendale,0,0,0,0
30,Allendale Fairfax High,3581 Allendale-Fairfax Highway,Fairfax,< 5,0,< 5,0
31,Allendale-Fairfax Middle,3581 Allendale-Fairfax Highway,Fairfax,0,0,0,0
32,Alma Elementary,213 Alma Street,Gaffney,0,0,0,0
33,Alston Middle,500 Bryan Street,Summerville,0,0,0,0
34,Alston-Bailey Elementary,820 W 5th N St,Summerville,0,0,0,0
35,Ambler Elementary,838 Ambler School Rd,Pickens,0,0,0,0
36,Anderson  Five Charter School,1225 South McDuffie Street,Anderson,0,0,0,0
37,Anderson Institute of Tech,315 Pearman Dairy Road,Anderson,0,0,0,0
38,Anderson Mill Elementary,1845 Old Anderson Mill Road,Moore,0,0,0,0
39,Andrew Jackson High,6925 Kershaw Camden Highway,Kershaw,0,0,0,0
40,Andrew Jackson Middle,6865 Kershaw Camden Highway,Kershaw,0,0,0,0
41,Andrews Elementary,13072 County Line Road,Andrews,< 5,0,0,0
42,Andrews High,12890 County Line Road,Andrews,0,0,0,0
43,Annie Burnside Elementary,7300 Patterson Road,Columbia,0,0,0,0
44,Angel Oak Elementary,6134 Chisolm Street,Johns Island,0,0,0,0
45,Applied Tech Ctr,2399 West Main Street,Rock Hill,0,0,0,0
46,Arcadia Elementary,375 Spring Street,Spartanburg,0,0,0,0
47,Arden Elementary,1300 Ashley Street,Columbia,0,0,0,0
48,Armstrong Elementary,8601 White Horse Road,Greenville,< 5,0,< 5,0
49,Ashley Ridge High,9800 Delemar Highway,Summerville,0,0,0,0
50,Ashley River Crtv Arts Elem,1871 Wallace School Road,Charleston,0,0,0,0
51,Bethel Elementary,6000 Highway 55 East,Clover,0,0,0,0
52,Bethel Elementary,111 Bethel School Road,Simpsonville,0,0,0,0
53,Bethel-Hanberry Elementary,125 Boney Road,Blythewood,0,0,0,0
54,Bethune Elementary,302 Norwood Street East,Bethune,0,0,0,0
55,Bettis Prep Leadership Acad,69 Nicholson Road,Trenton,0,0,0,0
56,Black St Early Chood Center,256 Smith Street,Walterboro,0,0,0,0
57,Black Water Middle,900 East Cox Ferry Road,Conway,0,0,0,0
58,Blacksburg Elementary,402 Hardin Street,Blacksburg,0,0,0,0
59,Blacksburg High,201 West Ramseur Drive,Blacksburg,< 5,0,< 5,0
60,Blacksburg Primary,1010 East Cherokee Street,Blacksburg,0,< 5,0,0
61,Blacksburg Middle,101 London Street,Blacksburg,0,0,0,0
62,Blackville-Hilda High,76 Atkins Circle,Blackville,0,0,0,0
63,Blaney Elementary,1621 Smyrna Road,Elgin,0,0,0,0
64,Blenheim Middle Sch Discovery,143 Highland Street,Blenheim,0,0,0,0
65,Blue Ridge Elementary,995 South Oak Street,Seneca,0,0,0,0
66,Blue Ridge High,2151 Fews Chapel Road,Greer,< 5,0,< 5,0
67,Blue Ridge Middle,2423 East Tyger Bridge Road,Greer,< 5,0,< 5,0
68,Bluffton Elementary,160 H. E. McCracken Circle,Bluffton,0,0,0,0
69,Bluffton High,12 H. E. McCracken Circle,Bluffton,0,0,0,0
70,Bluffton Middle,30 New Mustang Road,Bluffton,0,0,0,0
71,Blythe Academy,100 Blythe Drive,Greenville,0,0,0,0
72,Blythewood High,10901 Wilson Boulevard,Blythewood,0,0,0,0
73,Blythewood Middle,2351 Longtown Road East,Blythewood,0,0,0,0
74,Boiling Springs Elementary,700 Double Bridge Road,Boiling Springs,< 5,0,< 5,0
75,Boiling Springs High,2251 Old Furnace Road,Boiling Springs,< 5,0,< 5,0
76,Boiling Springs Hi 9 Gr Campus,3655 Boiling Springs Road,Boiling Springs,< 5,0,< 5,0
77,Boiling Springs Intermediate,2055 Hanging Rock Road,Boiling Springs,< 5,0,< 5,0
78,Boiling Springs Middle,4801 Highway 9,Inman,0,< 5,0,0
79,Bookman Road Elementary,1245 Bookman Road,Elgin,0,0,0,0
80,Boulder Bluff Elementary,400 Judy Drive,Goose Creek,0,0,0,0
81,Boundary St. Elementary,1406 Boundary St,Newberry,0,0,0,0
82,Bradley Elementary,3032 Pinebelt Road,Columbia,0,0,0,0
83,Brennen Elementary,4438 Devereaux Road,Columbia,0,0,0,0
84,Brewer Middle,1000 Emerald Road,Greenwood,0,0,0,0
85,Bridge Creek Elementary,121 Bombing Range Road,Elgin,0,0,0,0
86,Bridges Prep School,555 Robert Smalls Parkway,Beaufort,0,0,0,0
87,Bridgewater Acad Charter,191 River Landing Boulevard,Myrtle Beach,0,0,0,0
88,Brashier Middle College,1830 W Georgia Rd,Simpsonville,0,0,0,0
89,Branchville High,1349 Dorange Rd,Branchville,0,0,0,0
90,Briggs Elementary,1012 Congaree Drive,Florence,0,0,0,0
91,Broad River Elementary,474 Broad River Road,Beaufort,0,0,0,0
92,Brockington Elementary,304 Kemper Street,Timmonsville,0,0,0,0
93,Brockington Elementary,413 Brockington Road,Darlington,0,0,0,0
94,Brockman Elementary,2245 Montclair Drive,Columbia,0,0,0,0
95,Brook Glenn Elementary,2003 East Lee Road,Taylors,0,0,0,0
96,Brookdale Elementary,394 Brookdale Drive,Orangeburg,< 5,0,< 5,0
97,Brookland-Cayce Senior High,1300 State Street,Cayce,< 5,0,< 5,0
98,Brooklyn Springs Elementary,1637 Billings Drive,Lancaster,0,0,0,0
